keilmuan,abstrak
7,Phone cell users countless solve problem damages phones. paper discusses development expert system assist identify damages. system uses forward chaining backward chaining methods searching techniques getting conclusion existing problem system built PHP programming language MySQL database accessed mobile browser.
5,Dengue Fever (DBD) Malaria kinds diseases extraordinary occurrence Indonesia. diseases spread rapidly death short time. prediction occurrence Dengue Fever (DBD) Malaria diseases Bandar Lampung processed manually presented form of tables and graphs. research Web-based Geographic Information System (WEB-GIS) developed provide information spreading Dengue Fever (DBD) Malaria diseases City Bandar Lampung. Data obtained Department Health City government. WEB-GIS implemented Arcview MapServer MySQL database PHPMapscript programming language. result shows WEB-GIS could provide information spreading area Dengue Fever (DBD) Malaria diseases Bandar Lampung village level.
3,research discusses simulating application automatic coffee machine processes making 7 types choices drinks coffee milk chocolate coffee milk coffee brown mocha and chocolate milk automatically. application concept Finite State Automata (FSA) applied recognize capture pattern process making coffee drinks. application Finite State Automata (FSA) read input symbols given starting state final state order language recognized machine. process accordance read language.
5,Technology development currently human life practical. ways technology entertainment business education. technology education optimal educational process using system students listen teachers explain. education technology learning multimedia interactive. Subjects solar system subjects junior high school topics exoplanets planets outside solar system seldom teacher. junior high school interactive multimedia learning process based gave topics solar system. paper discused design development interactive multimedia contains topics solar system exoplanets animated interactive multimedia based. application attractive users interactively.
5,Online school report card information system based web mobile information system information service student academic data form access web mobile. online school report card information system based web mobile development form online school report card information system. Research development online school report card information system are for give ease at student and teacher data processing simplify in student academic data processing delivery information pupil network mobile detect influence online school report card information system based web mobile system user satisfaction level. Research method  research is based on field research method. development system uses waterfall model. Software windows xp professional macromedia dream weaver 8 xampp 1.6.8. Result Research development online school report card information system conclusion questionnaire data application web online  school report card information system based web mobile.
5,increasing demand computers aspects people interact computers agile. type faster. Various methods applications created help people type application used paid trial applications. alternative application developed handle problem. applications developed using Waterfall method Pascal programming language considered development applications Open Source.
1,Mathematics and Computer Science closely related. problems Computer Sciences problems solved using mathematical techniques concepts distance minimum fares minimum time. determination minimum value  using mathematical programming dynamic programming. consideration factors security roads impassable vehicle used comfortability road infrastructure. Dynamic programming methods mathematics which is useful create sequence interrelated decisions provides systematic procedure determine optimal combination decision. This paper will discuss about dynamic programming that applied in the determination of the minimum distance. Determination minimum distance use application make calculation.
1,research discusses finding solutions Knight's Tour Problem. steps knight chess board forms path. track points (boxes) original point (box) Hamilton Cycle produces Closed Knight's Tour path points original point track Open Knight's Tour. ways solve Knight's Tour Problem use Backtrack algorithm. paper discuss solutions Knight's Tour Problem vary chessboards.
4,GNU / Linux operating system users build develop operating system. methods used Remaster Linux From Scratch. difference LFS method builds system Remaster using Linux distributions. goal research investigate steps building Linux base operating system using LFS method. operating system built successfully used daily playing music video browsing programming and other tasks. 
5,E-Learning accessible web browser. E-Learning server Learning Management System (LMS). LMS consists paid unpaid tailor (version ordered). research LMS used which is not paid. There are lots of LMS are not paid one of these is Claroline. The development of E-Learning is followed by the development of mobile devices Android devices. Android usage increased year applications E-Learning underdeveloped. Based background develop E-Learning application Android mobile devices Android devices support development client applications E-Learning. purpose developing application users Android devices download lecture materials Android devices. research application developed using Eclipse IDE using Java programming language Android XML course Claroline LMS server. application complement Claroline access web browser. results research client application download files lecture materials Claroline server.
1,traffic control system computerized. system considering density changing vehicles. research algorithm developed problem traffic control constant manual (fixed time traffic). algorithm Miloza algorithm. Miloza algorithm algorithm used find optimum solution traffic control based density characteristics of the vehicle. purpose research simulation automatic control system traffic light density characteristics junctions using MilozaAlgorithm alternative solution. simulation application using visual basic programming language method application development used prototype method.
5,Indonesia archipelago country strategic geographical location ethnic groups. preserve art culture Indonesia teach introduce next generation. Starting elementary school children Indonesian arts cultures text books. learning interesting subjects monotonous conventional way. research interactive learning system developed. developed Web based-GIS system covers introduction arts cultures 33 provinces Indonesia. Data used research obtained art culture book official website Indonesian cultures. system implemented using softwares ArcView MapServer MySQL database PHP programming language. research results learning system provide information province Indonesia based category selected user. system display  information form pictures traditional houses weapons video related cultures. system helps students understand material using quiz tool. 
1,football sport performed humans. development football offered variety integration technologies diverse forms ball type shoes games. game associated football great demand people PES 2013. Football game game strategies determine success game. great team won numerous competitions Barcelona FC. club interesting features powerful win game. unique feature 'Barca style' short passing between players. main roles game football player controlled ball player supports movement player ball opposing player trying snatch ball. find solutions address characteristics 'Barca Style' represent game mathematical model design simulation uses strategy game guarding total survival strategy strategy 'Barca style'.
5,condition location map. University Lampung campus map form paper data displayed form limited. map used display information related facilities personnel University Lampung. research design web based Geographic Information System (GIS) focusing information lecturer / department unit. web based GIS used tool visitors academics obtain information faculty unit building facilities map University Lampung. web based GIS developed using several open source software QuantumGIS MapServer Pmapper Framework MySQL database. Pmapper Framework increase accuracy convenience consistency  development applications use MapServer.
1,development science technology influences business trend. mode businesses used vending machine. Vending machine machine serve client food drink costumers money machine slot. research discusses application coffee vending machine variation coffee optimalize output of the money. application Finite State Automata (FSA) applied handle problem recognize language drink MOW algorithm used optimalize output money transaction processing.
4,Samba application connect different operating system platforms. application created order computer Linux Unix BSD Samba file server based protocol Windows based computers access. Samba server implemented Laboratory Computation FMIPA University Lampung means facilitate access data files instructors assistants practitioners. Using Samba server file sharing problems accessing storing managing data files users accessing system computer network database server messy. Considering problems PDC required file server. paper apply Samba server PDC Laboratory Computation FMIPA University Lampung. Based test Samba server PDC successfully applied management storage transmission data problem resolved. 
11,development technology requires person institutions job quickly. Payroll system important institution. calculate employee's salary accurately quickly computerized system. Kantor Pelayanan Kekayaan Negara dan Lelang (KPKNL) Metro City institution responsible community services. process payroll system institution using computer semi manual way. institution computerized system calculate employee salary automatically. research payroll system integrated crystal report finger print attendance system. Payroll system convert data crystal report finger print attendance systems calculate salary employee. addition system withholding tax delay home time home presenting detail attendance salaries recapitulation report employees. research used visual basic programming language MySQL database crystal report perform reports. method development system used research waterfall method. result Black Box Testing payroll system built according user requirement.
1,study implements Quine McCluskey method minimize Boolean function. methods can used minimization Boolean functions. conducted study apply Karnaugh Map method. applied Quine McCluskey method program Boolean Algebra maximum input function variables initialized. study Quine McCluskey implemented program input function maximum length variables. input directly keyboard. results calculate efficiency application.
5,Music beautiful art separated human life playing music devote feelings emotions felt form artistic composition enjoyed. musical instrument characteristics.  Guitaris musical instrument used genres. study guitar tuner application android platform developed. system built Java programming language IDE Eclipse Java android plugin devices smartphones android ICS (Ice Cream Sandwich) above help align tone guitar users.
8,The Museum institution served nurture protect repository historic objects. Indonesia Museum crowded certain times school holidays study tours. Museum means learning students research. information provided  Museum brief information informative. provide detailed information answer curiosity visitors tour guide. Solutions developed improve services appeal Museum making use graphics technology Augmented Reality (AR). Implementation AR Museum used displays informations object Museum Tour Guide. results prototype application helps provide information virtual guide visitors.
1, study discusses complexity comparison algorithms Prim Algorithm Kruskal Algorithm Sollin Algorithm. graphs used implementation complete graphs order increment data used generated randomly weight ranging. C++ programming language used develop source code data implementation result found algorithm complexity. 
1,Indonesian Senior High School policy decide majors student match interests talents abilities. developing auto learning decision support system iterative dichotomiser (ID3) algorithms help teachers make decision student majoring. ID3 algorithms part learning techniques artificial intelligence. using data sample training data system decision support used reference for teachers to majoring students. To get a good decision accuracy required training data wide variation. result vary training data higher accuracy decision result.
11, information longer complementary product major requairement institutions schools. Dissemination information school system using paper. Dissemination information facilitated making SMS-based information system center announcing school activities parents teachers students SMS gateway school information dissemination center. SMS gateway system implemented using MySQL database GAMMU SMS gateway tools programming language PHP.
11,research conducted development information systems supporting completion thesis form graphics letter System. Development adding Menu Duration Study Old Settlement thesis recapitulation data data guidance thesis. development aims to improve the performance of the Secretary of the Department in managing student thesis data. development using PHP programming language function library Kendo and MySQL database. application applied Information Systems Department Computer Science University Lampung.
11,research development verification systems courses. IT  aims accelerate process checking curriculum computer science majors. Course verification systems developed search string matching method parts programming methods: exact matching and heuristic matching. Exact matching programming method using brute force algorithm shortcomings preprocessing phase. heuristic matching algorithm using gram similarity check detail . results brute-force  algorithm quickly running time results. gram similarity algorithm efficient checking character kopel course.
5,Semaphore medium communicate person. process studying semaphore codes quite difficult requires long time limited medium learning code. research design develop applicationm learning  semaphore code Android-based  mobile  devices providing alternative learning  media semaphore  code  learners.  Android  mobile  devices  selected basis application development considering use those Android technologies. This  application developed Java HTML  CSS JavaScript   programming language. data  used motion  pictures  semaphore. application tests  carried  out using Blackbox Testing method. testing examining  functional features application. test results system application  test Semaphore Code Application run well Android operating system applied Ice Cream Sandwich Jelly Bean version translate  words sentences roman letters motion pictures semaphores.
